Time,ProfitLabel,TimeFilter,Close,Rsi7,Rsi14,Rsi21,MacdLine1,MacdCandle1,MacdLine2,MacdCandle2,MacdLine3,MacdCandle3,Cci1,Cci2,Cci3,StochMain1,StochSignal1,StochMain2,StochSignal2,StochMain3,StochSignal3,Hour_sin,Hour_cos,RSI7_minus_RSI14,RSI7_minus_RSI21,RSI14_minus_RSI21,RSI7_div_RSI14,RSI7_div_RSI21,RSI14_div_RSI21,RSI7_region,RSI14_region,RSI21_region,RSI_order,MacdHist1,MacdCross1,MacdAboveZero1,MacdSlope1,MacdHist2,MacdCross2,MacdAboveZero2,MacdSlope2,MacdHist3,MacdCross3,MacdAboveZero3,MacdSlope3,CciRegion1,CciRegion2,CciRegion3,StochCross1,StochRegion1,StochCross2,StochRegion2,StochCross3,StochRegion3,ma_diff_7_14,ma_diff_14_21,ma_diff_7_21,ma7_close_diff,ma14_close_diff,ma21_close_diff,tenkan_kijun_diff,spanA_spanB_diff,close_tenkan_diff,close_kijun_diff,close_spanA_diff,close_spanB_diff,boll_bandwidth,close_boll_upper_diff,close_boll_lower_diff,close_boll_middle_diff,boll_upper_middle_diff,boll_lower_middle_diff,close_env_upper_diff,close_env_lower_diff,Rsi7_momentum_1,Rsi7_momentum_2,Rsi7_momentum_3,MacdLine1_momentum_1,MacdLine1_momentum_2,MacdLine1_momentum_3,StochMain1_momentum_1,StochMain1_momentum_2,StochMain1_momentum_3,Rsi14_momentum_1,Rsi14_momentum_2,Rsi14_momentum_3,MacdLine2_momentum_1,MacdLine2_momentum_2,MacdLine2_momentum_3,StochMain2_momentum_1,StochMain2_momentum_2,StochMain2_momentum_3,Rsi21_momentum_1,Rsi21_momentum_2,Rsi21_momentum_3,MacdLine3_momentum_1,MacdLine3_momentum_2,MacdLine3_momentum_3,StochMain3_momentum_1,StochMain3_momentum_2,StochMain3_momentum_3
2025-04-04 21:10:00,2,1,3024.29,46.92,44.32,42.46,-2.53,-3.17,-6.97,-7.57,-0.57,-1.14,-99.79,-27.07,-58.39,25.03,36.3,64.12,67.05,47.71,49.9,-0.7071067811865477,0.7071067811865474,2.6,4.46,1.86,1.06,1.11,1.04,2,2,2,0,0.64,1,0,0.15,0.6,1,0,0.15,0.57,1,0,0.08,0,0,0,0,1,0,1,0,1,-0.61,-1.11,-1.72,0.1,0.71,1.82,-4.15,-28.91,2.09,-2.06,-11.4,-40.31,-7.65,-2.25,-9.9,5.4,7.65,15.3,-3.06,2.99,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
2025-04-04 21:15:00,2,1,3023.87,44.98,43.68,42.13,-2.41,-3.01,-6.82,-7.42,-0.57,-0.96,-59.25,-4.72,-51.53,31.17,29.54,58.81,63.74,53.59,50.71,-0.7071067811865477,0.7071067811865474,1.3,2.85,1.55,1.03,1.07,1.04,2,2,2,0,0.6,1,0,0.12,0.6,1,0,0.15,0.39,1,0,0.0,0,0,0,1,1,0,1,1,1,-0.59,-1.05,-1.64,0.39,0.98,2.03,-0.88,-31.22,-1.6,-2.48,-9.51,-40.73,-7.02,-2.19,-9.21,4.83,7.02,14.04,-3.25,2.8,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2025-04-04 21:20:00,2,1,3022.04,37.16,40.95,40.7,-2.44,-2.88,-6.71,-7.28,-0.9,-0.88,-174.02,-71.27,-76.86,21.24,25.81,39.86,54.26,53.35,51.55,-0.7071067811865477,0.7071067811865474,-3.79,-3.54,0.25,0.91,0.91,1.01,1,2,2,3,0.44,1,0,-0.03,0.57,1,0,0.11,-0.02,0,0,-0.33,-2,0,0,0,1,0,1,1,1,-0.76,-1.08,-1.84,1.67,2.43,3.51,-1.21,-32.55,-3.1,-4.31,-10.01,-42.56,-6.52,-3.49,-10.01,3.03,6.52,13.04,-4.7,1.34,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-04 21:25:00,2,1,3024.61,51.09,46.06,43.53,-2.23,-2.74,-6.54,-7.13,-0.55,-0.78,-49.78,-7.24,-51.9,29.78,27.4,24.53,41.07,60.3,55.75,-0.7071067811865477,0.7071067811865474,5.03,7.56,2.53,1.11,1.17,1.06,2,2,2,0,0.51,1,0,0.21,0.59,1,0,0.17,0.23,1,0,0.35,0,0,0,1,1,0,1,1,1,-0.56,-0.98,-1.54,-0.68,-0.12,0.86,-1.53,-34.08,-0.21,-1.74,-5.63,-39.71,-6.04,-0.6,-6.64,5.44,6.04,12.08,-2.18,3.87,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0
2025-04-04 21:30:00,2,1,3024.79,51.96,46.41,43.72,-2.03,-2.58,-6.37,-6.98,-0.29,-0.66,114.74,64.31,-11.94,43.4,31.48,32.78,32.39,62.72,58.79,-0.7071067811865477,0.7071067811865474,5.55,8.24,2.69,1.12,1.19,1.06,2,2,2,0,0.55,1,0,0.2,0.61,1,0,0.17,0.37,1,0,0.26,2,1,0,1,1,1,1,1,1,-0.38,-0.87,-1.25,-0.64,-0.26,0.61,-1.53,-30.07,-0.03,-1.56,-5.75,-35.82,-5.39,-0.11,-5.5,5.29,5.4,10.79,-2.1,3.94,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0
2025-04-04 21:35:00,2,1,3022.18,39.94,42.14,41.52,-2.05,-2.46,-6.26,-6.83,-0.63,-0.62,-51.79,-61.27,-55.34,50.89,41.36,34.71,30.68,63.09,62.04,-0.7071067811865477,0.7071067811865474,-2.2,-1.58,0.62,0.95,0.96,1.01,1,2,2,3,0.41,1,0,-0.02,0.57,1,0,0.11,-0.01,0,0,-0.34,0,0,0,1,1,1,1,1,1,-0.57,-0.89,-1.46,1.47,2.04,2.93,-1.53,-29.35,-2.64,-4.17,-9.08,-38.43,-4.71,-2.27,-6.98,2.44,4.71,9.42,-4.97,1.07,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1
2025-04-04 21:40:00,2,1,3021.9,38.82,41.7,41.28,-2.07,-2.36,-6.15,-6.69,-0.84,-0.65,-138.64,-184.31,-100.96,29.49,41.26,20.79,29.43,48.19,58.0,-0.7071067811865477,0.7071067811865474,-2.88,-2.46,0.42,0.93,0.94,1.01,1,2,2,3,0.29,1,0,-0.02,0.54,1,0,0.11,-0.19,0,0,-0.21,-1,-2,-1,0,1,0,1,0,1,-0.69,-0.91,-1.6,1.32,2.01,2.92,-1.58,-29.95,-2.87,-4.45,-8.76,-38.71,-3.76,-2.1,-5.86,1.67,3.77,7.53,-5.04,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-04 21:45:00,2,1,3020.61,33.72,39.63,40.18,-2.16,-2.29,-6.05,-6.56,-1.17,-0.69,-160.88,-241.4,-175.09,19.7,33.36,16.22,23.91,30.49,47.26,-0.7071067811865477,0.7071067811865474,-5.91,-6.46,-0.55,0.85,0.84,0.99,1,1,2,5,0.13,1,0,-0.09,0.51,1,0,0.1,-0.48,0,0,-0.33,-2,-3,-2,0,0,0,0,0,1,-0.91,-0.97,-1.88,1.95,2.86,3.83,-4.24,-30.41,-1.5,-5.74,-9.59,-40.0,-3.75,-3.06,-6.81,0.69,3.75,7.5,-5.99,0.05,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-04 21:50:00,2,1,3025.73,58.79,50.19,46.16,-1.8,-2.19,-5.86,-6.42,-0.33,-0.65,53.38,12.89,7.35,50.87,33.35,46.73,27.91,38.48,39.05,-0.7071067811865477,0.7071067811865474,8.6,12.63,4.03,1.17,1.27,1.09,2,2,2,0,0.39,1,0,0.36,0.56,1,0,0.19,0.32,1,0,0.84,1,1,1,1,1,1,1,0,1,-0.41,-0.78,-1.19,-2.37,-1.96,-1.18,-2.27,-28.58,3.62,1.35,-4.76,-33.34,-3.51,2.14,-1.37,5.64,3.5,7.01,-1.0,5.05,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0
2025-04-04 21:55:00,2,1,3025.6,58.14,49.95,46.03,-1.51,-2.08,-5.67,-6.27,0.15,-0.57,78.43,65.42,58.51,73.29,47.95,73.29,45.41,58.57,42.51,-0.7071067811865477,0.7071067811865474,8.19,12.11,3.92,1.16,1.26,1.09,2,2,2,0,0.57,1,0,0.29,0.6,1,0,0.19,0.72,1,1,0.48,1,1,1,1,1,1,1,1,1,-0.09,-0.64,-0.73,-1.68,-1.59,-0.95,-2.27,-28.58,3.49,1.22,-4.89,-33.47,-3.62,1.93,-1.69,5.54,3.61,7.23,-1.27,4.78,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0
