Time,ProfitLabel,TimeFilter,Close,Rsi7,MacdLine1,MacdLine2,MacdLine3,Cci1,StochMain1,StochSignal1,Hour_sin,Hour_cos,RSI7_minus_RSI14,RSI_order,MacdHist1,MacdCross1,MacdAboveZero1,MacdSlope1,MacdHist2,MacdCross2,MacdAboveZero2,MacdSlope2,MacdHist3,MacdCross3,MacdAboveZero3,MacdSlope3,StochCross1,StochCross2,StochCross3,tenkan_kijun_diff,spanA_spanB_diff,boll_bandwidth,close_boll_lower_diff,close_boll_middle_diff,Rsi7_momentum_1,Rsi7_momentum_2,Rsi7_momentum_3,MacdLine1_momentum_1,MacdLine1_momentum_2,MacdLine1_momentum_3,StochMain1_momentum_1,StochMain1_momentum_2,StochMain1_momentum_3,MacdLine2_momentum_1,MacdLine2_momentum_2,StochMain2_momentum_1,StochMain2_momentum_2,StochMain2_momentum_3,MacdLine3_momentum_1,MacdLine3_momentum_2,MacdLine3_momentum_3,StochMain3_momentum_1,StochMain3_momentum_2,StochMain3_momentum_3
2025-04-04 21:10:00,2,1,3024.29,46.92,-2.53,-6.97,-0.57,-99.79,25.03,36.3,-0.7071067811865477,0.7071067811865474,2.6,0,0.64,1,0,0.15,0.6,1,0,0.15,0.57,1,0,0.08,0,0,0,-4.15,-28.91,-7.65,-9.9,5.4,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
2025-04-04 21:15:00,2,1,3023.87,44.98,-2.41,-6.82,-0.57,-59.25,31.17,29.54,-0.7071067811865477,0.7071067811865474,1.3,0,0.6,1,0,0.12,0.6,1,0,0.15,0.39,1,0,0.0,1,0,1,-0.88,-31.22,-7.02,-9.21,4.83,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0
2025-04-04 21:20:00,2,1,3022.04,37.16,-2.44,-6.71,-0.9,-174.02,21.24,25.81,-0.7071067811865477,0.7071067811865474,-3.79,3,0.44,1,0,-0.03,0.57,1,0,0.11,-0.02,0,0,-0.33,0,0,1,-1.21,-32.55,-6.52,-10.01,3.03,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2025-04-04 21:25:00,2,1,3024.61,51.09,-2.23,-6.54,-0.55,-49.78,29.78,27.4,-0.7071067811865477,0.7071067811865474,5.03,0,0.51,1,0,0.21,0.59,1,0,0.17,0.23,1,0,0.35,1,0,1,-1.53,-34.08,-6.04,-6.64,5.44,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0
2025-04-04 21:30:00,2,1,3024.79,51.96,-2.03,-6.37,-0.29,114.74,43.4,31.48,-0.7071067811865477,0.7071067811865474,5.55,0,0.55,1,0,0.2,0.61,1,0,0.17,0.37,1,0,0.26,1,1,1,-1.53,-30.07,-5.39,-5.5,5.29,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0
2025-04-04 21:35:00,2,1,3022.18,39.94,-2.05,-6.26,-0.63,-51.79,50.89,41.36,-0.7071067811865477,0.7071067811865474,-2.2,3,0.41,1,0,-0.02,0.57,1,0,0.11,-0.01,0,0,-0.34,1,1,1,-1.53,-29.35,-4.71,-6.98,2.44,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1
2025-04-04 21:40:00,2,1,3021.9,38.82,-2.07,-6.15,-0.84,-138.64,29.49,41.26,-0.7071067811865477,0.7071067811865474,-2.88,3,0.29,1,0,-0.02,0.54,1,0,0.11,-0.19,0,0,-0.21,0,0,0,-1.58,-29.95,-3.76,-5.86,1.67,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2025-04-04 21:45:00,2,1,3020.61,33.72,-2.16,-6.05,-1.17,-160.88,19.7,33.36,-0.7071067811865477,0.7071067811865474,-5.91,5,0.13,1,0,-0.09,0.51,1,0,0.1,-0.48,0,0,-0.33,0,0,0,-4.24,-30.41,-3.75,-6.81,0.69,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2025-04-04 21:50:00,2,1,3025.73,58.79,-1.8,-5.86,-0.33,53.38,50.87,33.35,-0.7071067811865477,0.7071067811865474,8.6,0,0.39,1,0,0.36,0.56,1,0,0.19,0.32,1,0,0.84,1,1,0,-2.27,-28.58,-3.51,-1.37,5.64,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0
2025-04-04 21:55:00,2,1,3025.6,58.14,-1.51,-5.67,0.15,78.43,73.29,47.95,-0.7071067811865477,0.7071067811865474,8.19,0,0.57,1,0,0.29,0.6,1,0,0.19,0.72,1,1,0.48,1,1,1,-2.27,-28.58,-3.62,-1.69,5.54,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0
